Date,Open,High,Low,Close,Volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2022-09-09 07:00:00,7.0786,7.0786,7.0786,7.0786,0.0,1662710399999,0.0,0,0.0,0.0,0
2022-09-09 08:00:00,6.989,7.0097,6.9664,7.0097,22.12,1662713999999,154.4471,8,22.12,154.4471,0
2022-09-09 09:00:00,7.0097,7.0097,7.0097,7.0097,0.0,1662717599999,0.0,0,0.0,0.0,0
2022-09-09 10:00:00,7.0097,7.0097,7.0097,7.0097,0.0,1662721199999,0.0,0,0.0,0.0,0
2022-09-09 11:00:00,6.9513,6.9513,6.8981,6.8981,28.77,1662724799999,199.875,3,28.77,199.875,0
2022-09-09 12:00:00,6.8712,6.9249,6.8712,6.9249,104.9,1662728399999,725.3194,4,27.42,188.8846,0
2022-09-09 13:00:00,6.8979,6.8979,6.897,6.897,10.15,1662731999999,70.0066,2,0.0,0.0,0
2022-09-09 14:00:00,6.8624,6.8624,6.8624,6.8624,27.8,1662735599999,190.7747,1,0.0,0.0,0
2022-09-09 15:00:00,7.0699,7.098,7.0699,7.0877,76.31,1662739199999,539.8573,8,0.0,0.0,0
2022-09-09 16:00:00,7.09,7.13,6.9629,6.9629,823.32,1662742799999,5820.1002,18,290.95,2069.9509,0
2022-09-09 17:00:00,7.0057,7.0303,6.9799,7.0303,38.03,1662746399999,265.7205,4,1.5,10.5085,0
2022-09-09 18:00:00,7.0666,7.0752,7.0666,7.0752,20.19,1662749999999,142.7924,2,0.0,0.0,0
2022-09-09 19:00:00,7.0624,7.0624,7.0624,7.0624,14.22,1662753599999,100.4273,1,14.22,100.4273,0
2022-09-09 20:00:00,7.0597,7.0597,7.0597,7.0597,60.0,1662757199999,423.582,1,0.0,0.0,0
2022-09-09 21:00:00,6.9841,6.9956,6.9694,6.9956,60.56,1662760799999,422.8823,3,1.44,10.0736,0
2022-09-09 22:00:00,6.9869,6.9869,6.977,6.977,51.98,1662764399999,363.1588,8,51.98,363.1588,0
2022-09-09 23:00:00,7.0007,7.0007,6.9587,6.9587,6.15,1662767999999,42.8991,3,6.15,42.8991,0
2022-09-10 00:00:00,7.0726,7.1916,7.0726,7.1913,694.02,1662771599999,4968.5305,14,453.94,3255.3693,0
2022-09-10 01:00:00,7.1361,7.2448,7.1288,7.1537,537.33,1662775199999,3846.4444,7,124.77,899.8363,0
2022-09-10 02:00:00,7.2381,7.2442,7.2381,7.2442,419.0,1662778799999,3034.0977,2,419.0,3034.0977,0
2022-09-10 03:00:00,7.117000000000001,7.117000000000001,7.033,7.033,590.01,1662782399999,4164.3447,4,171.85,1222.9664,0
2022-09-10 04:00:00,7.0234,7.0234,6.9963,7.0049,889.62,1662785999999,6230.1507,7,10.39,72.8271,0
2022-09-10 05:00:00,7.0049,7.0049,7.0049,7.0049,0.0,1662789599999,0.0,0,0.0,0.0,0
2022-09-10 06:00:00,6.9514,6.9589,6.9514,6.9589,36.44,1662793199999,253.3634,5,32.94,229.0073,0
2022-09-10 07:00:00,6.879,6.8811,6.879,6.8798,1162.82,1662796799999,8000.2882,7,1112.92,7657.0261,0
2022-09-10 08:00:00,6.8798,6.8798,6.8798,6.8798,0.0,1662800399999,0.0,0,0.0,0.0,0
2022-09-10 09:00:00,6.8798,6.8798,6.8798,6.8798,0.0,1662803999999,0.0,0,0.0,0.0,0
2022-09-10 10:00:00,6.9449,6.9449,6.9339,6.9339,44.35,1662807599999,307.6009,6,44.35,307.6009,0
2022-09-10 11:00:00,6.9463,6.9463,6.9463,6.9463,71.7,1662811199999,498.0497,1,71.7,498.0497,0
